geography_level,city,neighbourhood,variable,category,n,pct
neighbourhood,Johannesburg,Berea,stay_or_go,Leave country,14,7.65
neighbourhood,Johannesburg,Berea,stay_or_go,Missing,4,2.19
neighbourhood,Johannesburg,Katlehong,stay_or_go,Stay in neighbourhood,114,67.86
neighbourhood,Johannesburg,Katlehong,stay_or_go,Move within country,33,19.64
neighbourhood,Johannesburg,Katlehong,stay_or_go,Leave country,20,11.9
neighbourhood,Johannesburg,Katlehong,stay_or_go,Missing,1,0.6
neighbourhood,Johannesburg,Diepsloot,stay_or_go,Stay in neighbourhood,116,70.73
neighbourhood,Johannesburg,Diepsloot,stay_or_go,Move within country,29,17.68
neighbourhood,Johannesburg,Diepsloot,stay_or_go,Leave country,19,11.59
neighbourhood,Nairobi,Kawangware,medium_term_goal,Stay here,130,62.8
neighbourhood,Nairobi,Kawangware,medium_term_goal,Don't know,24,11.59
neighbourhood,Nairobi,Kawangware,medium_term_goal,Missing,19,9.18
neighbourhood,Nairobi,Kawangware,medium_term_goal,Move within city,16,7.73
neighbourhood,Nairobi,Kawangware,medium_term_goal,Return to origin community,12,5.8
neighbourhood,Nairobi,Kawangware,medium_term_goal,Move within home country,6,2.9
neighbourhood,Nairobi,Kayole,medium_term_goal,Stay here,145,84.3
neighbourhood,Nairobi,Kayole,medium_term_goal,Don't know,16,9.3
neighbourhood,Nairobi,Kayole,medium_term_goal,Missing,3,1.74
neighbourhood,Nairobi,Kayole,medium_term_goal,Return to origin community,3,1.74
neighbourhood,Nairobi,Kayole,medium_term_goal,Move to third country,2,1.16
neighbourhood,Nairobi,Kayole,medium_term_goal,Move within city,2,1.16
neighbourhood,Nairobi,Kayole,medium_term_goal,Move within home country,1,0.58
neighbourhood,Nairobi,Ongata Rongai,medium_term_goal,Stay here,134,79.76
neighbourhood,Nairobi,Ongata Rongai,medium_term_goal,Don't know,11,6.55
neighbourhood,Nairobi,Ongata Rongai,medium_term_goal,Move to third country,7,4.17
neighbourhood,Nairobi,Ongata Rongai,medium_term_goal,Move within home country,6,3.57
neighbourhood,Nairobi,Ongata Rongai,medium_term_goal,Move within city,5,2.98
neighbourhood,Nairobi,Ongata Rongai,medium_term_goal,Return to origin community,4,2.38
neighbourhood,Nairobi,Ongata Rongai,medium_term_goal,Other,1,0.6
neighbourhood,Accra,Madina,medium_term_goal,Stay here,126,56.76
neighbourhood,Accra,Madina,medium_term_goal,Move within city,28,12.61
neighbourhood,Accra,Madina,medium_term_goal,Don't know,23,10.36
neighbourhood,Accra,Madina,medium_term_goal,Move to third country,20,9.01
neighbourhood,Accra,Madina,medium_term_goal,Move within home country,11,4.95
neighbourhood,Accra,Madina,medium_term_goal,Return to origin community,9,4.05
neighbourhood,Accra,Madina,medium_term_goal,Missing,3,1.35
neighbourhood,Accra,Madina,medium_term_goal,Other,2,0.9
neighbourhood,Accra,Old Fadama,medium_term_goal,Stay here,143,76.06
neighbourhood,Accra,Old Fadama,medium_term_goal,Move within city,20,10.64
neighbourhood,Accra,Old Fadama,medium_term_goal,Don't know,12,6.38
neighbourhood,Accra,Old Fadama,medium_term_goal,Return to origin community,6,3.19
neighbourhood,Accra,Old Fadama,medium_term_goal,Move to third country,4,2.13
neighbourhood,Accra,Old Fadama,medium_term_goal,Move within home country,2,1.06
neighbourhood,Accra,Old Fadama,medium_term_goal,Missing,1,0.53
neighbourhood,Accra,James Town,medium_term_goal,Stay here,110,64.33
neighbourhood,Accra,James Town,medium_term_goal,Move to third country,19,11.11
neighbourhood,Accra,James Town,medium_term_goal,Move within city,18,10.53
neighbourhood,Accra,James Town,medium_term_goal,Move within home country,12,7.02
neighbourhood,Accra,James Town,medium_term_goal,Don't know,8,4.68
neighbourhood,Accra,James Town,medium_term_goal,Return to origin community,4,2.34
neighbourhood,Johannesburg,Berea,medium_term_goal,Stay here,144,78.69
neighbourhood,Johannesburg,Berea,medium_term_goal,Move within city,21,11.48
neighbourhood,Johannesburg,Berea,medium_term_goal,Return to origin community,10,5.46
neighbourhood,Johannesburg,Berea,medium_term_goal,Missing,4,2.19
neighbourhood,Johannesburg,Berea,medium_term_goal,Other,2,1.09
neighbourhood,Johannesburg,Berea,medium_term_goal,Move to third country,1,0.55
neighbourhood,Johannesburg,Berea,medium_term_goal,Don't know,1,0.55
neighbourhood,Johannesburg,Katlehong,medium_term_goal,Stay here,136,80.95
neighbourhood,Johannesburg,Katlehong,medium_term_goal,Move within city,13,7.74
neighbourhood,Johannesburg,Katlehong,medium_term_goal,Don't know,12,7.14
neighbourhood,Johannesburg,Katlehong,medium_term_goal,Move within home country,4,2.38
neighbourhood,Johannesburg,Katlehong,medium_term_goal,Return to origin community,2,1.19
